,Emails,label
358,actor work work evening sleep late unemployed moment sleep late unemployed day saturday,0
359,long cold posted,0
360,cool cool chikku chikku,0
361,prob,0
362,check audrey status,0
363,busy finish year forward finally meeting,0
364,afternoon sunshine dawn day refreshed happy alive breathe air smile love,0
365,worry,0
366,xmas offer latest motorola sonyericsson nokia free bluetooth double min txt orange call,1
367,discount code stop message reply stop customer service,1
368,uniform,0
369,cool text ready,0
370,boytoy geeee miss woke wish bed cuddling love,0
371,spoil bed,0
372,bath message,0
373,talking pay agree price pls buy pay,0
374,ringtone order reference charged gbp week unsubscribe anytime calling customer service,1
375,happen,0
376,recognise,0
377,lot thing happening lindsay year sigh bar ptbo blue heron,0
378,payasam rinu brings,0
379,taught ranjith sir called sm becaus he verifying project prabu told today mistake,0
380,guess worried body repair worry slow test guide ovulation relax reason worry followin,0
381,give couple minute track wallet,0
382,hey leave big deal,0
383,hey late meet,0
384,double min txts free bluetooth orange available sony nokia motorola phone call,1
385,owl lick,0
386,customer place call,0
387,time fun,0
388,half price orange line rental latest camera phone free phone call mobilesdirect free update,1
389,lunch buffet eat,0
390,late dinner,0
391,hey sat intro pilate kickboxing,0
392,morning,0
393,office room day shut,0
394,pick bout time,0
395,performance award calculated current month period,0
396,sleeping call back text rock si send text wen wake,0
397,putting business put picture as facebook open picture room hurt make feel violated,0
398,evening sir salam happy grace god offer tayseer tissco allah meet visitor india,0
399,hmmm change field quickly system administrator network administrator,0
400,free ringtone text poly text tone free tone eapsnd txt stop,1
401,dear chechi talk,0
402,hair cream shipped,0
403,happening,0
404,yep great loxahatchee xmas tree burning start hour,0
405,haha driving usf lot stoner,0
406,slightly disastrous class fav darling hope day coffee wld stay late tomorrow time place,0
407,week fancy drink,0
408,headin busetop,0
409,message text missing sender missing number missing date missing missing lot missing,0
410,room point iron plan weekend,0
411,co,0
412,okies yan jiu skip ard oso mrt blah blah blah,0
413,bring home wendy,0
414,dating service cal,1
415,whatsup sleep,0
416,alright goal,0
417,free entry weekly competition text word win,1
418,alright head minute text meet,0
419,send logo lover name joined heart txt love mobno love adam eve yahoo txtno ad,1
420,week taking live call,0
421,contacted dating service entered phone fancy find call landline,1
422,siva hostel aha,0
423,urgent mobile number awarded prize guaranteed call land line claim valid,1
424,send friend receive voice speaking expression attitude reply,0
425,guess,0
426,aathi dear,0
427,pain urination,0
428,esplanade mind giving lift co car today,0
429,wnt buy bmw car urgently vry shortage source arng dis amt lac prob,0
430,home watching,0
431,fifteen fucking minute respond question,0
432,congrats nokia video camera phone call call cost ave call vary mobile close post ldn,1
433,booked ticket pongal,0
434,available hillsborough amp,0
435,message askin dollar shoul pay,0
436,iouri told story ten time,0
437,long applebees fucking,0
438,hope min late,0
439,love arrange,0
440,great bhaji told kallis cricketer sachin world tough,0
441,supposed wake,0
442,oic found group liao,0
443,sorry call,0
444,hey hey werethe monkeespeople monkeyaround gorgeous,0
445,sorry battery died gram place,0
446,blimey exercise kind remember wot,0
447,concentration dear mind,0
448,made plan year,0
449,,0
450,hank lotsly,0
451,hope day today,0
452,detail transfer acc,0
453,stay tough optimistic thing improve month,0
454,loan purpose homeowner tenant welcome previously refused call free text back,1
455,make oreo truffle,0
456,amy ure beautiful intelligent woman lot donaot donaot worry,0
457,hope result consistently intelligent kind start practicum link ear open ttyl,0
458,call cost guess miss love,0
459,different decision coping heal believe,0
460,phone stay,0
461,great day reason god,0
462,upgrdcentre orange customer claim free camera phone upgrade loyalty call offer end july apply available,1
463,sorry call bye,0
464,railway,0
465,great princess love giving receiving oral doggy style fave position enjoy making love time night,0
466,put stuff road slippery,0
467,ride bike,0
468,jus wait rain stop,0
469,company language,0
470,okmail dear dave final notice collect tenerife holiday cash award call landline tc sae,1
471,long screamed princess,0
472,meant money enters account bank remove flat rate transfered account dollar removed bank differ charge trust person sending account detail co,0
473,laid tonight real dogging location direct mob join largest dogging network txting moan,1
474,nice line broken plz time infront wise trust,0
475,head usf fifteen minute,0
476,love aathi love lot,0
477,tension machi problem,0
478,pick,0
479,guy back staying mcr,0
480,sec,0
481,carlos friend working weekend,0
482,watching,0
483,baby wait taste real,0
484,change jaykwon thuglyfe falconerf,0
485,win side long time,0
486,free message activate free text message replying message word free term condition visit,1
487,dear reached railway happen,0
488,depends quality type boye faded glory ralphs,0
489,fixed send test message,0
490,sorry account dry trade back half buy shit credit card,0
491,congrats year special cinema pas call suprman free miss,1
492,sorry meeting call,0
493,class reunion,0
494,free call,0
495,meh,0
496,monday sorry replied late,0
497,told accenture confirm,0
498,kate jackson rec center,0
499,dear reache room,0
500,fighting world easy win lose fightng close dificult lose lose win lose,0
501,,0
502,check nuerologist,0
503,lolnice fish water,0
504,congratulation week competition draw prize claim call sm,1
505,waiting car bored co wait home stuff watch,0
506,westshore hyde park village place house,0
507,anthony bringing money school fee pay rent stuff friend,0
508,significance,0
509,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply,0
510,latest scrounge ammo give,0
511,prabha soryda realy frm heart sory,0
512,forgiven,0
513,jst change tat,0
514,guaranteed latest nokia phone ipod player prize txt word collect ibhltd,1
515,competition,0
516,boltblue tone reply poly mono cha cha slide slow jamz toxic stop tone txt,1
517,credit topped http renewal pin tgxxrz,1
518,transport problematic sat night join birthday feel free definite booking fri,0
519,person unconscious child adult behave abnormally call,0
520,ebay,0
521,pickle,0
522,taco,0
523,rude campus,0
524,urgent mobile awarded bonus caller prize attempt contact call,1
525,ard christmas enjoy merry,0
526,today offer claim worth discount voucher text savamob member offer mobile unsub reply,1
527,pretty lady single,0
528,recieve tone term condition channel teletext,1
529,jay,0
530,private account statement show point call identifier code expires,1
531,sunday holiday work,0
532,gudnite practice,0
533,late,0
534,called hoping malaria miss guy miss big pls give love especially great day,0
535,afternoon love day hope lead job boytoy send passionate kiss,0
536,probably tonight,0
537,fat finger press button,0
538,ummmmmaah happy return day dear sweet heart happy birthday dear,0
539,tirupur started office call,0
540,monthlysubscription csc web txt stop,1
541,famous quote develop ability listen unconditionally losing temper confidence mean,0
542,college,0
543,clock bash flat plan,0
544,girl stay bed girl recovery time pas fun cooped bed,0
545,special,0
546,invitation apologise cali sweet english bloke weddin,0
547,sorry long omw,0
548,wait,0
549,give minute alibi cutting hair time,0
550,imagine finally sink bath put pace eat left imagine feel cage cock surrounded bath water reminding owns enjoy cuck,0
551,hurry day,0
552,acknowledgement astoundingly tactless generally faggy demand blood oath,0
553,night warm bath drink cup milk work magic loose weight,0
554,frying pan case cheap book silly frying pan book,0
555,mutation sunscreen essential thesedays,0
556,lunch online,0
557,friend told,0
558,princess pic pretty,0
559,aiyo reply time reply fast lucky workin bao sugardad gee,0
560,message office,0
561,brownie nice,0
562,geeeee love barely stand,0
563,gent contact weekend draw show prize guaranteed call claim code valid,1
564,fuck babe miss send money net crave,0
565,call ninish address icky american freek stop callin jen,0
566,oooh bed ridden,0
567,gym love smile hope day babe miss,0
568,love daddy make scream pleasure slap as dick,0
569,wot missy,0
570,yar wait mum finish sch lunch morning stay home clean room room clean hee,0
571,lab goggles,0
572,open,0
573,waiting call,0
574,waiting sch daddy,0
575,cash prize claim,1
576,tired arguing week week,0
577,wait sch finish ard,0
578,mobile number claim call back ring claim hot line,1
579,arngd marriage walkin unfortuntly snake bite love marriage dancing frnt snake amp sayin bite bite,0
580,early dinner izzit,0
581,change,0
582,contact reply offer min textand video phone call reply free delivery tomorrow,1
583,kid kid day,0
584,scotland hope showing jjc tendency live dream,0
585,headache hour sick time,0
586,dun thk quit hmmm jazz yogasana oso meet lesson,0
587,ring meive gotany credit,0
588,srsly,0
589,meeting call,0
590,chance win wkly shopping spree txt shop custcare,1
591,specially selected receive pound award call line close cost apply promo,1
592,private account statement show point call identifier code expires,1
593,grand prix,0
594,stranger choose friend long world stand friendship end friend forever gud nitz,0
595,great,0
596,gud mrng dear nice day,0
597,important customer service announcement call freephone,1
598,exhausted train morning wine pie sleep,0
599,buy mum present,0
600,mind blastin tsunami occur rajnikant stopped swimming indian ocean,0
601,sending home ready,0
602,speaking cash,0
603,happy noon,0
604,meet lunch,0
605,,0
606,xclusive clubsaisai soiree speciale zouk nichols rose lady info,1
607,meant wait bored bridgwater banter,0
608,neva mind,0
609,fine drink somethin find,0
610,day kick date latest news result daily removed send txt stop,1
611,valentine game send dis message friend answer love colour suit rply,0
612,dependent,0
613,today cer nice catch ave find time,0
614,called choose future,0
615,happy valentine day early hundred handsomes beauty wish finish aunty uncle,0
616,shock leh co telling shuhui telling leona liao reaction,0
617,family happiness,0
618,pick immediately aft lesson,0
619,snow snow kind weather brings friendship grow,0
620,dear dollar,0
621,word word leave dismay time,0
622,make alex birthday fifteen minute concerned,0
623,sorry thing pub,0
624,straight bring bud drink straight cash,0
625,haha hear officially paid market,0
626,lick center tootsie pop,0
627,thk teacher make longer darren cut short,0
628,textbuddy chat horny guy area free receive search postcode txt,1
629,today vodafone number ending selected receive award number match call receive award,1
630,,0
631,,0
632,forwarded message send,0
633,seventeen pound hundred hope,0
634,dear voucher holder claim week offer http stop text txt stop,1
635,funny,0
636,sweetheart hope kind day load reason smile biola,0
637,login time dad fetching home,0
638,shower baby,0
639,askd question hour answer,0
640,definitely restock thanksgiving,0
641,kiss kiss sound effect gorgeous kind person smile brighten day,0
642,probably swing wee bit,0
643,nice ready thursday,0
644,braved bus train triumphed jolly rest week,0
645,watching cartoon listening music amp eve temple amp church,0
646,mind happened uncomfortable,0
647,private account statement show point call identifier code expires,1
648,prob send email,0
649,cash prize claim rstm,1
650,cool slow gentle sonetimes rough hard,0
651,sorry normal starting panic time sorry tuesday,0
652,wait wesley town bet hella drug,0
653,fine miss,0
654,person story,0
655,dealer impatient,0
656,sun earth send love ray cloud river send love rain meet send message gud evng,0
657,place,0
658,make free,0
659,premium phone service call,1
660,lay rock rock envelope envelope paper paper word,0
661,mum repent,0
662,sorry home daddy fetch,0
663,leave start prepare,0
664,baby study position kama sutra,0
665,chikku nange bakra message kalstiya,0
666,carlos minute buy,0
667,pay decimal lakh,0
668,evening ttyl,0
669,receive message,0
670,big belly laugh tomo,0
671,sm post cool,1
672,ringtone free reply message tone top tone phone week opt send stop,1
673,ditto worry anymore night peace,0
674,pick,0
675,knw drink milk,0
676,find card great escape wetherspoons,0
677,piggy awake bet sleeping lunch,0
678,freaky,0
679,missed call yelling scrappy miss wait home lonely today,0
680,place talk explain,0
681,,0
682,lunch,0
683,year work lapdancer love sex text live bedroom text textoperator,1
684,wanted wait finish lect co lect finish hour,0
685,finished work,0
686,king cry baby great building map imprtant today reach tomorw gud,0
687,dear case coming cochin pls call bfore reach day engaged holiday,0
688,love torch bold,0
689,forwarded call immediately urgent message waiting,1
690,farm open,0
691,sorry trouble buy dad big small sat sun,0
692,sister law hope great month hey abiola,0
693,purchase stuff today mail box number,0
694,poop prob send laptop fixed cuz gpu problem,0
695,job entrepreneur,0
696,aight close alex place,0
697,meet corporation gap mind working,0
698,mum buy food home,0
699,message reply message,0
700,pay,0
701,sorry call,0
702,important prevent dehydration giving fluid,0
703,bit weird supposed happening idea pub,0
704,dear sat pray evening felt sm time,0
705,away trek long family town sorry,0
706,gym harri,0
707,late lar ard wun drivin,0
708,review fantastic nokia game deck club nokia unsubscribe alert reply word,1
709,half price orange line rental latest camera phone free phone call mobilesdirect free update,1
710,height confidence aeronautics professor wer calld amp wer askd aeroplane aftr sat wer told plane made student dey hurried plane move made student,0
711,weird timing night smoke day shitstorm attributed coming making smoke,0
712,cost,1
713,save stress person dorm account send account detail money,0
714,lunch menu,0
715,stuff sell,0
716,urgent attempt contact call callcost mobilesvary,1
717,book lesson message call work sth spec membership,0
718,guaranteed cash prize claim prize call customer service representative,1
719,macha feel assume evening wonderful plan life begin anytime,0
720,send address,0
721,anytime,0
722,wondar full flim,0
723,cooky jelly,0
724,world running feeling admit correction call running world run,0
725,scrumptious daddy eat night long,0
726,co lar dao fri today,0
727,alright omw change order,0
728,jide study visiting,0
729,,0
730,email alertfrom jeri stewartsize prescripiton drvgsto listen email call,1
731,spring coming early yay,0
732,feel money steak dinner,0
733,trouble convincing tel tel neglect msg read reply,0
734,leaving qatar tonite search add prayer,0
735,talking,0
736,appreciate,0
737,customer loyalty offer mobile txtauction txt word start ctxt,1
738,wish,0
739,haha mayb rite feeling faster find gal group attached liao,0
740,glad made,0
741,time time ahead,0
742,room put clock back shouted realised wahay hour bed,0
743,free gym,0
744,shorter lady gaze eye,0
745,jus lido time,0
746,promise princess run send pic chance ttyl,0
747,subscribed mobile content service day send stop helpline,1
748,reason spoken year great week exam,0
749,monday week give full gist,0
750,realize year thousand lady running tattoo,1
751,important customer service announcement premier,1
752,give lip caveboy,0
753,library,0
754,realy recognise number confused,0
755,holla,0
756,spare room top head,0
757,faith make thing possible hope make thing work love make thing beautiful christmas merry christmas,0
758,made appointment,0
759,call phone vibrate acting hear text,0
760,romantic paris night flight book year call apply,1
761,grandma dear felt shit morning hungover night leave sat,0
762,urgent guaranteed award unclaimed call claimcode,1
763,jus co gua faber yest yest jus mah today jus call,0
764,wishing family merry happy year advance,0
765,awarded city break win summer shopping spree txt store skilgme,1
766,goin somethin meetin dinner haha wonder time,0
767,sorry call,0
768,pick phone pls send message,0
769,dramatic school closed tomorrow apparently drive inch snow supposed,0
770,damn job hunting,0
771,drunkard hair moment tonight wats plan,0
772,idc weaseling shit row,0
773,minute space,0
774,sleeping surfing,0
775,picking trash,0
776,friend live smoke spend hour begging smoke,0
777,kate lovely tonight phone tomorrow sing guy gave card xxx,0
778,happy year dear brother miss number decided send text wishing happiness abiola,0
779,mean,0
780,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply,0
781,hmmm hour slave late punish,0
782,beerage,0
783,important customer service announcement premier call freephone,1
784,turn randomlly opening,0
785,supposed make town,0
786,time fix spelling completely different word figure,0
787,living life perfect partner txt back age join mobile community,1
788,free top polyphonic tone call national rate toppoly week text subpoly pole unsub,1
789,gud mrng dear hav nice day,0
790,hoping enjoyed game yesterday sorry touch pls fondly bein thot great week abiola,0
791,driving tomorrow,0
792,dogbreath sounding jan thataos,0
793,omg scream weighed lost weight woohoo,0
794,generally uncountable noun dictionary piece research,0
795,hanging,0
796,orange customer claim free camera phone upgrade loyalty call offer end apply availa,1
797,petey boy whereare friendsare thekingshead canlove nic,0
798,message leave house,0
799,give minute ago,0
800,chance claim worth discount voucher today text shop savamob offer mobile savamob,1
801,appt time fault listen told,0
802,free week nokia tone mobile week txt nokia txting mate pobox,1
803,guaranteed award cashto claim award call free stop getstop php,1
804,,0
805,dled imp,0
806,make smokin,0
807,boooo work quit,0
808,taking half day leave bec,0
809,ugh bed warm,0
810,,0
811,ring guy costume gift future yowifes hint hint,0
812,congratulation awarded gift voucher free entry weekly draw txt music tncs,1
813,borrow bag,0
814,outbid shinco dvd plyr bid visit sm bid notification reply,1
815,boytoy miss happened,0
816,lot babe model youi bring match,0
817,bringing galileo dobby,0
818,responding,0
819,boo babe enjoyin yourjob gettin hunny hope ure iaollspeak soonlots loveme,0
820,afternoon starshine boytoy crave ache fuck sip cappuccino miss babe teasing kiss,0
821,road txt,0
822,smsservices yourinclusive text credit pls goto unsubscribe stop extra charge,1
823,alfie moon child song mob txt tone charity nokias poly charity polys zed profit charity,1
824,evening ttyl,0
825,bit piece sigh,0
826,hahaha brain dear,0
827,hey mail,0
828,sorry light turned green meant friend wanted worth,0
829,yesterday sir wonderful hope enjoyed burial mojibiola,0
830,secret admirer reveal think special call opt reply reveal stop message recd cust,1
831,mate hav nice hol message coz havenaot age started driving stay road rvx,0
832,dear voucher holder claim week offer http apply stop text txt stop,1
